"stco","whc","sand","silt","clay","om","kwfactor","kffactor","spH","slope","tfactor"
1001,24.5328438076395,60.0723162490197,19.9130772083319,20.0146065426483,112.563571636538,0.222197519031708,0.225125358535461,5.13105823532689,51.0813308587532,4.95699628781531
1003,23.7320119067462,58.1240124523587,22.3508536510046,19.5251338966366,153.544292592401,0.254309189023189,0.260393464684788,4.94038920880688,107.998019258371,4.94913254933662
1005,21.6218289138,61.4450426541346,16.4768239911919,22.0781333546735,90.3566275371472,0.2128205402798,0.212885185922649,5.12004699739509,66.792921659799,4.92331030700756
1007,26.0229324360153,50.8877141955408,24.5332047948432,24.579081009616,75.8545555198044,0.244727288469935,0.258127658279484,4.96565473190751,41.0249904072802,4.85486503055656
1009,17.8938621417203,37.3289367047187,33.5943148203511,29.0767484749302,79.3592869973762,0.242343031934012,0.296664657509985,4.9168301059114,31.2335228695478,3.10683705171605
1011,22.8768924079923,36.8973546683809,26.7529308356165,36.3497144960026,123.314306368993,0.232861509687539,0.234978401888378,5.65831911891566,45.6894381101511,4.99005785215044
1013,24.4162748880606,50.3854048238898,21.2773206946761,28.3372744814341,71.9177168926557,0.221107485411663,0.221107489712985,5.00917625308649,63.032686879006,4.85441769061417
1015,22.5062942376794,25.8318893677819,40.4126622127906,33.7554484194275,94.7823370068722,0.249325641169713,0.31261337766285,5.20735058820343,39.0802926827505,4.36080793049654
1017,21.1681612758155,44.8636185371294,22.7112964302101,32.4250850326606,79.986940064971,0.215132382563621,0.226198700155143,5.35499190932142,37.571991823235,4.91364689187724
1019,22.1624450121125,31.0282402854866,37.1451686634234,31.82659105109,88.9566881522735,0.259508034573787,0.303482141305267,4.96921998077236,38.4990675051435,4.1493963794172
1021,21.5266562526156,52.1299094328473,24.6714391124982,23.1986514546545,50.1113533675841,0.236940446700155,0.269493187301627,4.9587815909714,34.4243358346757,4.73983501321102
1023,24.4103085558559,45.0053944569936,29.932606228754,25.0619993142524,35.9779740662645,0.301495504617219,0.301771608457915,5.21585727197426,43.8019441407197,4.66202443616975
1025,26.959337048077,55.1559723342361,22.4607492452249,22.3832784205389,76.0830295910093,0.248076653467018,0.252569391255182,5.03297190946699,33.3593599309788,4.91228743870898
1027,24.271580946719,47.7222432101695,27.0131099609861,25.2646468288444,49.6498017196745,0.254492668260943,0.260864274767145,5.12404716470147,36.6084016086207,4.75523081568399
1029,21.3998020787849,43.5354510056756,31.665420346744,24.7991286475805,50.8340253724426,0.275784670286866,0.306884827167461,5.17303747804142,29.1439219380262,4.53013587589601
1031,23.6038823200731,59.9243197147619,16.8097321576361,23.265948127602,68.9616868314784,0.202370112791923,0.204654025678998,5.08473795244713,73.1030985982215,4.9412108997075
1033,32.4348073644705,16.1077847933778,42.068651462194,41.8235637444281,82.9625708044451,0.260539352744756,0.26657688452755,5.2126236417449,50.8330034259013,4.7646013102433
1035,25.0764498539451,51.9216629992822,20.7607766018608,27.317560398857,52.1628035395339,0.219385753672342,0.221064654402237,5.12627806987456,60.2665405172071,4.94771816789728
1037,24.971880899637,45.5028623601162,28.0742648328239,26.4228728070599,81.424817367766,0.268706609213393,0.27856037388122,5.29887176967644,36.7421068641615,4.50140829627584
1039,20.9023803414489,63.3801063394905,14.995188450034,21.6247052104755,94.2555042079675,0.185162481518682,0.18565949888453,5.15531540075706,62.6448241455956,4.98686601021678
1041,23.9389127004811,61.0494525619906,15.3811578261344,23.569389611875,67.4246501340079,0.199726493556266,0.199728207183674,5.06739810818091,66.5879640038064,4.96298145347071
1043,16.1800630740751,39.0721216873042,34.497542512035,26.4303358006609,71.0217050027682,0.292419130078634,0.310419999797693,4.94176880349875,37.4542979793655,3.03855380432644
1045,21.6824261493453,65.2413758254343,14.2351795320703,20.5234446424954,63.7659819676803,0.205145382886426,0.205312243586886,5.08944017986512,72.1149637616166,4.9020404834268
1047,25.5317962301977,35.7804879832986,29.0643581766387,35.1551538400628,89.457958758206,0.240102430148858,0.240276290597992,5.99174021504614,49.3572785314035,4.50759884093372
1049,16.5229384050284,43.0578391081517,33.2733921489051,23.6687687429432,82.4794360617215,0.293458564109002,0.306237735416706,4.7795102735748,40.0118830823854,2.86615965559819
1051,20.438610024478,53.1987774824026,20.7779057743821,26.0233167432153,93.8657969080948,0.221024297905482,0.223809048620122,5.15707496082704,44.404807290623,4.32826429265957
1053,26.0747425103145,50.6472958765444,24.6434093012166,24.7092948222389,154.315829235287,0.199766746182449,0.200369688796034,5.1195705196971,79.7469680066395,4.97067416677253
1055,19.0175774403262,31.6032941950129,38.7405272557448,29.6561785492423,93.7193909244397,0.271446581537034,0.309076399317822,4.94564892030259,39.3988784134095,3.86189714930365
1057,22.7409438893646,46.410651170661,31.3810647467027,22.2082840826364,57.3215870770238,0.310811906623062,0.322274257511223,4.86146178638154,47.1850578273134,4.39179269704364
1059,19.7747381195145,39.2128669092003,32.2316123673522,28.5555207234474,69.5989165877305,0.272269520857882,0.296281981448849,5.20598315439791,38.6359366209985,4.0104869183334
1061,20.0049576722023,61.3004972968749,16.114229244198,22.5852734589271,87.235206287164,0.197596468282878,0.198474267019782,5.15108665737222,67.4363187840898,4.8833654583006
1063,22.6308036985351,31.4468569834361,32.1437300043466,36.4094130122174,96.7148389153825,0.265130623281972,0.27275668709523,6.11282338401911,47.9138855487959,4.36309348766645
1065,20.8520730168573,25.9213618229502,32.0117431636269,42.0668950134229,123.223392756977,0.259084751773296,0.278504903476019,6.70054905421638,49.9044329010723,4.1513111122632
